from_field,from_event,Section Header,Field Type,to_event,to_field,to_form,TO_FIELD_TYPE,NOTES,custom,custom_1,custom_2
asq_20_overall_4,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_4,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_4_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_4_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_20_overall_5,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_5,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_5_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_5_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_20_overall_6,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_6,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_6_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_6_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_20_overall_7,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_7,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_7_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_7_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_20_overall_8,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_8,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_8_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_8_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_20_overall_9,asq_20_month_19_mo_0_d_20_mo_30_d,,yesno,child_3_arm_4,asq_20_overall_9,asq_20_month_19_mo_0_d_20_mo_30_d,yesno,,,,
asq_20_overall_9_explain,asq_20_month_19_mo_0_d_20_mo_30_d,,notes,child_3_arm_4,asq_20_overall_9_explain,asq_20_month_19_mo_0_d_20_mo_30_d,notes,,,,
asq_22_child,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_child,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm1,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Communication</span></p></div>",radio,child_3_arm_4,asq_22_comm1,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm2,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_comm2,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm3,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_comm3,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm4,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_comm4,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm5,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_comm5,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm6,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_comm6,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_comm6_example,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_comm6_example,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_gm_png,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Gross Motor</span></p></div>",descriptive,child_3_arm_4,asq_22_gm_png,asq_22_month_21_mo_0_d_22_mo_30_d,descriptive,,,,
asq_22_gm1,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm1,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_gm2,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm2,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_gm3,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm3,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_gm4,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm4,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_gm5,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm5,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_gm6,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_gm6,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm_png,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Fine Motor</span></p></div>",descriptive,child_3_arm_4,asq_22_fm_png,asq_22_month_21_mo_0_d_22_mo_30_d,descriptive,,,,
asq_22_fm1,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm1,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm2,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm2,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm3,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm3,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm4,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm4,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm5,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm5,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_fm6,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_fm6,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso_png,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Problem Solving</span></p></div>",descriptive,child_3_arm_4,asq_22_prso_png,asq_22_month_21_mo_0_d_22_mo_30_d,descriptive,,,,
asq_22_prso1,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso1,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso2,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso2,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso3,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso3,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso4,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso4,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso5,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso5,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_prso6,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_prso6,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso1,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Personal-Social</span></p></div>",radio,child_3_arm_4,asq_22_peso1,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso2,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_peso2,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso3,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_peso3,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso4,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_peso4,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso5,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_peso5,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_peso6,asq_22_month_21_mo_0_d_22_mo_30_d,,radio,child_3_arm_4,asq_22_peso6,asq_22_month_21_mo_0_d_22_mo_30_d,radio,,,,
asq_22_overall_1,asq_22_month_21_mo_0_d_22_mo_30_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Overall</span></p></div>",yesno,child_3_arm_4,asq_22_overall_1,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_1_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_1_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_2,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_2,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_2_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_2_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_3,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_3,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_3_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_3_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_4,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_4,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_4_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_4_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_5,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_5,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_5_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_5_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_6,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_6,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_6_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_6_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_7,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_7,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_7_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_7_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_8,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_8,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_8_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_8_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_22_overall_9,asq_22_month_21_mo_0_d_22_mo_30_d,,yesno,child_3_arm_4,asq_22_overall_9,asq_22_month_21_mo_0_d_22_mo_30_d,yesno,,,,
asq_22_overall_9_explain,asq_22_month_21_mo_0_d_22_mo_30_d,,notes,child_3_arm_4,asq_22_overall_9_explain,asq_22_month_21_mo_0_d_22_mo_30_d,notes,,,,
asq_24_child,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_child,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm1,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Communication</span></p></div>",radio,child_3_arm_4,asq_24_comm1,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm2,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_comm2,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm3,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_comm3,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm4,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_comm4,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm6,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_comm6,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm5,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_comm5,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_comm5_example,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_comm5_example,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_gm_png,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Gross Motor</span></p></div>",descriptive,child_3_arm_4,asq_24_gm_png,asq_24_month_23_mo_0_d_25_mo_15_d,descriptive,,,,
asq_24_gm1,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm1,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_gm2,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm2,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_gm3,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm3,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_gm4,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm4,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_gm5,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm5,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_gm6,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_gm6,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm_png,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Fine Motor</span></p></div>",descriptive,child_3_arm_4,asq_24_fm_png,asq_24_month_23_mo_0_d_25_mo_15_d,descriptive,,,,
asq_24_fm1,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm1,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm2,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm2,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm3,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm3,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm4,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm4,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm5,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm5,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_fm6,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_fm6,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso_png,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Problem Solving</span></p></div>",descriptive,child_3_arm_4,asq_24_prso_png,asq_24_month_23_mo_0_d_25_mo_15_d,descriptive,,,,
asq_24_prso1,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso1,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso2,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso2,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso3,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso3,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso4,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso4,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso5,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso5,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_prso6,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_prso6,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso1,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Personal-Social</span></p></div>",radio,child_3_arm_4,asq_24_peso1,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso2,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_peso2,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso3,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_peso3,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso4,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_peso4,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso5,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_peso5,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_peso6,asq_24_month_23_mo_0_d_25_mo_15_d,,radio,child_3_arm_4,asq_24_peso6,asq_24_month_23_mo_0_d_25_mo_15_d,radio,,,,
asq_24_overall_1,asq_24_month_23_mo_0_d_25_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Overall</span></p></div>",yesno,child_3_arm_4,asq_24_overall_1,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_1_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_1_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_2,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_2,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_2_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_2_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_3,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_3,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_3_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_3_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_4,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_4,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_4_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_4_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_5,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_5,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_5_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_5_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_6,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_6,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_6_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_6_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_7,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_7,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_7_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_7_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_8,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_8,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_8_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_8_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_24_overall_9,asq_24_month_23_mo_0_d_25_mo_15_d,,yesno,child_3_arm_4,asq_24_overall_9,asq_24_month_23_mo_0_d_25_mo_15_d,yesno,,,,
asq_24_overall_9_explain,asq_24_month_23_mo_0_d_25_mo_15_d,,notes,child_3_arm_4,asq_24_overall_9_explain,asq_24_month_23_mo_0_d_25_mo_15_d,notes,,,,
asq_27_child,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_child,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm1,asq_27_month_25_mo_16_d_28_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Communication</span></p></div>",radio,child_3_arm_4,asq_27_comm1,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm2,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_comm2,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm3,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_comm3,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm4,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_comm4,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm6,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_comm6,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm5,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_comm5,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_comm5_example,asq_27_month_25_mo_16_d_28_mo_15_d,,notes,child_3_arm_4,asq_27_comm5_example,asq_27_month_25_mo_16_d_28_mo_15_d,notes,,,,
asq_27_gm_png,asq_27_month_25_mo_16_d_28_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Gross Motor</span></p></div>",descriptive,child_3_arm_4,asq_27_gm_png,asq_27_month_25_mo_16_d_28_mo_15_d,descriptive,,,,
asq_27_gm1,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm1,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_gm2,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm2,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_gm3,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm3,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_gm4,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm4,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_gm5,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm5,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_gm6,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_gm6,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm_png,asq_27_month_25_mo_16_d_28_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Fine Motor</span></p></div>",descriptive,child_3_arm_4,asq_27_fm_png,asq_27_month_25_mo_16_d_28_mo_15_d,descriptive,,,,
asq_27_fm1,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm1,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm2,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm2,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm3,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm3,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm4,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm4,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm5,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm5,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_fm6,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_fm6,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_prso_png,asq_27_month_25_mo_16_d_28_mo_15_d,"<div class=""rich-text-field-label""><p><span style=""color: #34495e;"">Problem Solving</span></p></div>",descriptive,child_3_arm_4,asq_27_prso_png,asq_27_month_25_mo_16_d_28_mo_15_d,descriptive,,,,
asq_27_prso1,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_prso1,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_prso2,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_prso2,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_prso3,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_prso3,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_prso4,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_prso4,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
asq_27_prso5,asq_27_month_25_mo_16_d_28_mo_15_d,,radio,child_3_arm_4,asq_27_prso5,asq_27_month_25_mo_16_d_28_mo_15_d,radio,,,,
